"model","elpd_loo","p_loo","looic","estimate_(Intercept)","conf.low_(Intercept)","conf.high_(Intercept)","estimate_DO","conf.low_DO","conf.high_DO","estimate_polyDO21","estimate_polyDO22","conf.low_polyDO21","conf.low_polyDO22","conf.high_polyDO21","conf.high_polyDO22","estimate_polyDO31","estimate_polyDO32","estimate_polyDO33","conf.low_polyDO31","conf.low_polyDO32","conf.low_polyDO33","conf.high_polyDO31","conf.high_polyDO32","conf.high_polyDO33","r2","r2_error","r2_q2.5","r2_q97.5","id","model_type"
"a_0_24nov_1_lm_0",41.9493938393229,5.88689846747225,-83.8987876786458,0.134919400961601,0.110513876337556,0.159485382615707,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_24nov_1","lm_0"
"a_0_24nov_1_lm_1",45.004289970299,6.92247829599057,-90.008579940598,0.0614710383611369,0.00535976859672028,0.116020766566368,0.000997878375821533,0.000330881178028669,0.00170129602669452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.186532875053701,0.093804482602839,0.0220198961368894,0.372956694803995,"a_0_24nov_1","lm_1"
"a_0_24nov_1_lm_2",44.9541574889948,7.28344627958157,-89.9083149779896,0.13452143034908,0.11166867558505,0.15842552724208,NA,NA,NA,0.216167587760688,0.0833664735382379,0.073633629001996,-0.0620557360256422,0.353705145303064,0.236035884504775,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.228888377295845,0.0908452858653313,0.0546065300917905,0.397603389319019,"a_0_24nov_1","lm_2"
"a_0_24nov_1_lm_3",43.8729074704662,8.10554281480214,-87.7458149409325,0.134835949447566,0.112104912371824,0.158083044837691,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.216661682159913,0.0834456241965294,-0.0415851917488061,0.0613096692109974,-0.0606307519707346,-0.193491030811882,0.361973787928914,0.232029196970965,0.10751956576459,0.245973899392862,0.0923719927227665,0.0606724372391978,0.417141029654942,"a_0_24nov_1","lm_3"
"a_0_24nov_3_lm_0",36.9166356353568,3.3071244570534,-73.8332712707135,0.136761405699662,0.106833590438147,0.167369133760962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_24nov_3","lm_0"
"a_0_24nov_3_lm_1",42.2653978656004,4.0968902028766,-84.5307957312009,0.0413414359098761,-0.0170372989639918,0.0986883700313007,0.00135790203644923,0.000601334131696815,0.00209395598461097,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.253929544212399,0.0974864192560144,0.0578996310584337,0.428218047013794,"a_0_24nov_3","lm_1"
"a_0_24nov_3_lm_2",41.9498126344368,4.71437335142981,-83.8996252688736,0.136439241981052,0.109949318938511,0.162846212046615,NA,NA,NA,0.319995168985585,-0.0825010944991723,0.153906906586163,-0.257973105919826,0.48856885924794,0.0901661255507388,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.27943234466065,0.0918163799068062,0.0908583681876565,0.444052842577031,"a_0_24nov_3","lm_2"
"a_0_24nov_3_lm_3",40.4104557681528,6.31341411553407,-80.8209115363056,0.136473107102544,0.109944385114241,0.162968601471688,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.318520626258188,-0.0818997044598764,-0.0496456681613047,0.147040699750229,-0.254565672989554,-0.224744338458877,0.497432686390932,0.100123373864124,0.122661630044851,0.291203317279234,0.0918272847231182,0.106974772898645,0.451421613450049,"a_0_24nov_3","lm_3"
"a_0_24nov_4_lm_0",40.3558068616789,2.94566503799174,-80.7116137233578,0.153244922909009,0.125405732009546,0.180857646718192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,"a_0_24nov_4","lm_0"
"a_0_24nov_4_lm_1",45.3259645350508,3.38285174552841,-90.6519290701016,0.0640056776006416,0.00667792730180882,0.119935323030417,0.00122998554374572,0.000545433463372716,0.00195563948685693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.239234563617027,0.0974028628276937,0.0539768090358215,0.421337336473703,"a_0_24nov_4","lm_1"
"a_0_24nov_4_lm_2",45.1325675724679,3.71763817534508,-90.2651351449358,0.153254710334813,0.128808223795951,0.177397969762739,NA,NA,NA,0.268228825930893,-0.0741361440561879,0.109967990418505,-0.225574942304136,0.421606155456052,0.0866896589268351,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.268829947251348,0.0966803853333587,0.0717429848695253,0.439049304231049,"a_0_24nov_4","lm_2"
